Boss Locations,,,,,,,,,,,,,,,
,,,,,,,,,,,Champion Item,,,,
,,,,,,,,,,🔵,Altar Location,,,,
,,,,,,,,,,,,,,,
cmd_fild05,,MVP:Guardian Serpent,,,,,,,,moc_fild17,,MVP:Phreeoni,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,1x Citrin,,,NONE,,,,,,,1x Gliterring Diamond,,,NONE
,,"75x Venom Canine (Anacondaq,Sidewinder)",,,,,,,,,,1x Sparkling Diamond,,,
,,25x Orange (Raggler),,,,,,,,,,1x Shining Diamond,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
um_fild04,,MVP:Lady Tanee,,,,,,,,um_dun02,,MVP:Ancient Wootan Defender,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,1x Giant Butterfly Wing,,,NONE,,,,,,,100x Wootan Token,,,3x Enchanted Log
,,1x Wooden Heart,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
gef_dun03,,MVP:Dracula,,,,,,,,pay_fild11,,MVP:Eddga,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,30x Jack o' Pumpkin (Jakk),,,1x Memento,,,,,,,1x Zircon (Stem Worm),,,NONE
,,30x Golden Hair (Marionette),,,1x Contract in Shadow,,,,,,,1x Topaz (Wolf Packleader),,,
,,30x Little Evil Horn (Deviruchi),,,,,,,,,,1x Sardonyx (Am mut),,,
,,10x Horseshoe (Nightmare),,,,,,,,,,1x Garnet (Leib Olmai),,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
gef_fild12,,MVP:Kobold Warchief,,,,,,,,prt_sewb4,,MVP:Golden Thief Bug,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,1x Steel Ore,,,NONE,,,,,,,50x Worm Peeling,,,1x Gold Ore
,,50x Blue Hair (Kobold),,,,,,,,,,10x Rat Tail,,,1x Glass Bead
,,,,,,,,,,,,10x Tooth of Bat,,,
,,,,,,,,,,,,10x Wing of Red Bat,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
pay_dun04,,MVP:Moonlight Flower,,,,,,,,,,,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,,,,
,,15x Skel Bones,,,1x Skull (Skeleton General),,,,,mjolnir_04,,MVP:Mistress,,,
,,15x Daenggie,,,1x Live Coal (Gajomart),,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,15x Short Daenggie,,,1x Amulet (Cat 'o Nine Tails),,,,,,,1x Royal Jelly,,,NONE
,,25x Black Hair,,,,,,,,,,1x Glittering Shell,,,
,,25x Nine Tails,,,,,,,,,,1x Red Gemstone,,,
,,,,,,,,,,,,1x Yellow Gemstone,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
beach_dun,,MVP:Tao Gunka,,,,,,,,,,,,,
,,"Altar Items:
Opt 1 / Opt 2",,,,,,,,,,,,,
,,20x Spaw,,,1x Golem Core,,,,,prt_fild00,,MVP:Doppelganger,,,
,,20x Heart of Mermaid,,,1x Megalith Shard,,,,,,,"Altar Items:
Opt 1 / Opt 2",,,
,,20x Crystalized Teardrop,,,1x Shining Scale,,,,,,,1x Emerald,,,NONE
,,10x Horrendous Hair,,,,,,,,,,1x Opal,,,
